EPA REGISTRATION NUMBER,PRODUCT NAME,QTY CHEMICAL USED,UNITS,RATE,PLACE OF APPLICATION,DATE OF APPLICATION,ADDRESS,MUNICIPALITY,,ZIPCODE
524-579,Round Up Pro Max,9.6,FL,3.00%,Greenstreet,08/12/2018,Conduit Blvd/Crescent St/Glenmore Ave,,Kings,11208
524-579,Round Up Pro Max,48,FL,3.00%,Greenstreet,8/18/2018,Conduit Blvd/McKinley Ave/Wilson St,,Kings,11208
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,6/16/2018,Fulton St/E New York Ave/Herkimer st,,Kings,11207
524-579,Round Up Pro Max,48,FL,3.00%,Pritchard Square Mall,07/18/2018,Corbin Pl/Oriental Blvd/Brighton Beach Ave,,Kings,11235
524-579,Round Up Pro Max,3.2,FL,1.67%,Greenstreet,7/10/2018,Remsen Ave/Rutland Rd/52nd St,,Kings,11203
524-579,Round Up Pro Max,128,FL,3.00%,Greenstreet,8/18/2018,Ave D/Dewitt Ave/Van Sinderen,,Kings,11236
524-579,Round Up Pro Max,1.6,FL,2.50%,Greenstreet,07/10/2018,Remsen Ave/Rutland Rd/E. 52nd St,,Kings,11203
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,6/24/2018,Williamsburg St West/Kent Ave/Wythe Ave,,Kings,11249
524-579,Round Up Pro Max,80,FL,1.67%,Greenstreet,7/10/2018,E55 St/Kings Hwy/ Clarendon Rd,,Kings,11203
524-579,Round Up Pro Max,80,FL,2.50%,Greenstreet,07/10/2018,,Kings Hwy/E. 54th St/Ave D,Kings,11203
524-579,Round Up Pro Max,16,FL,1.67%,Greenstreet,7/10/2018,,Kings Hwy/E53 St/ Foster Ave,Kings,11203
524-579,Round Up Pro Max,3.2,FL,2.50%,Greenstreet,07/10/2018,Kings Hwy/Beverly Rd/E. 55th St,,Kings,11203
524-579,Round Up Pro Max,1.6,FL,3.00%,Greenstreet,06/03/2018,Linden Blvd/Remsen Ave/Kings Hwy,,Kings,11212
524-579,Round Up Pro Max,3.2,FL,3.00%,Greenstreet,06/03/2018,Linden Blvd/Remsen Ave/Kings Hwy,,Kings,11212
524-579,Round Up Pro Max,7.7,FL,3.00%,Mondello Triangle,06/29/2018,,72st/7th Av/8th Av,Kings,11228
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Driggs avenue/Graham avenue,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Driggs Avenue/Graham Avenue,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Broome street/Driggs avenue,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Broome Street/Driggs Avenue,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Broome street/Engert avenue,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Engert Avenue/Broome Street,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Cayler street/Greenpoint ave,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Cayler Street/Greenpoint Avenue,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Meserole avenue/Cayler street,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Cayler Street/Meserole Avenue,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Cayler Street/Meserole Avenue,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Driggs avenue/Nassau avenue,,Kings,11222
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,McGuinness Boulevard/Driggs Avenue/Nassau Avenue,,Kings,11222
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/East 100 St/E 101 St,,Kings,11236
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/East 101 St/E102 St,,Kings,11236
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/E 102nd St/E 103rd St,,Kings,11236
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,,Seaview Ave/E 103/E 104 St,Kings,11236
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,Seaview Avenue/E 104th St/ E 105th St,,Kings,11236
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,,Seaview Ave/east 98St/E99 St,Kings,11236
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,,Seaview Ave/E 99St/E100 St,Kings,11236
524-579,Round Up Pro Max,4,FL,1.60%,Greenstreet,06/07/2018,Dumont Ave/Thomas Boyland St/Strauss St,,Kings,11212
524-579,Round Up Pro Max,1.6,FL,3.00%,Greenstreet,06/03/2018,Kings Hwy/Tilden Ave/Snyder Ave,,Kings,11212
524-579,Round Up Pro Max,3.2,FL,3.00%,Greenstreet,06/03/2018,Kings Hwy/Tilden Ave/Snyder Ave,,Kings,11212
524-579,Round Up Pro Max,6.4,FL,1.67%,Greenstreet,7/10/2018,E56,St /Kings Hwy/Tilden Ave,Kings,11203
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,6/24/2018,Williamsburg St West/Kent Ave/Flushing Ave,,Kings,11249
524-579,Round Up Pro Max,16,FL,3.00%,Jewel Square,08/18/2018,East New York Ave/Alabama Ave/Herkimer St,,Kings,11207
524-579,Round Up Pro Max,214,FL,3.33%,Right of Way,05/01/2018,Flatbush Ave/Belt Parkway/Aviation,Rd,Kings,11234
524-579,Round Up Pro Max,214,FL,3.33%,Flatbush Ave Median,05/01/2018,Flatbush ave / Belt Parkway/ Aviation road,Kings,11234
524-579,Round Up Pro Max,24,FL,2.20%,Flatbush Ave Median,08/02/2018,Flatbush ave / Belt Parkway/ Aviation road,Kings,11234
524-579,Round Up Pro Max,24,FL,2.20%,Flatbush Ave Median,08/02/2018,Flatbush Avenue / Belt Parkway/ Aviation Road,Kings,11234
524-579,Round Up Pro Max,38.36,FL,3.30%,Flatbush Ave Median,09/07/2018,Flatbush Avenue / Belt Parkway/ Aviation Road,Kings,11234
524-579,Round Up Pro Max,214,FL,3.33%,Flatbush Ave Median,05/01/2018,Flatbush Ave/Belt Pkwy/Aviation Rd,Kings,11234
524-579,Round Up Pro Max,12,FL,3.00%,Plumb Beach Triangle,09/24/2018,Plumb Beach / Shore Parkway,Kings,11234
