EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,UNITS,DATE OF APPLICATION,COUNTY CODE,ADDRESSS,MUNICIPALITY,ZIP CODE,DOSAGE RATE,PLACE
062719-00324,Rodeo,300 ML,10/10/2018,61 235th & Palisades Ave,Bronx,10463,2% Idlewild Park
062719-00556,Accord XRT II,200 ML,6/19/2018,61 Burke Ave and Bronx River Parkway,Bronx,10467,2% Idlewild Park
062719-00556,Accord XRT II,400 ML,6/19/2018,61 Burke Ave and Bronx River Parkway,Bronx,10467,2% Idlewild Park
062719-00556,Accord XRT II,100 ML,6/20/2018,61 Burke Ave and Bronx River Parkway,Bronx,10467,2% Idlewild Park
062719-00324,Rodeo,325 ML,6/26/2018,61 233rd St and Bronx River Parkway,Bronx,10466,100% Idlewild Park
062719-00324,Accord Concentrate,200 ML,6/30/2018,61 Meadow Lake Dr and 68th Dr,Flushing,11367,2% Idlewild Park
062719-00556,Accord XRT II,200 ML,8/14/2018,61 Meadow Lake Dr and 68th Dr,Flushing,11367,2% Idlewild Park
062719-00556,Accord XRT II,400 ML,9/4/2018,61 Meadow Lake Dr and 68th Dr,Flushing,11367,1% Idlewild Park
062719-00324,Rodeo,210 ML,9/19/2018,61 Meadow Lake Dr and 68th Dr,Flushing Meadows,11367,1% Idlewild Park
062719-00324,Rodeo,400 ML,9/21/2018,61 Harding Park and Gildersleeve Ave,Bronx,10473,2% Idlewild Park
062719-00324,Rodeo,800 ML,10/1/2018,61 Harding Park and Gildersleeve Ave,Bronx,10473,2% Idlewild Park
062719-00324,Rodeo,400 ML,10/3/2018,61 Kissam Ave and Great Kills Ln,Staten Island,10306,2% Idlewild Park
062719-00324,Rodeo,400 ML,10/4/2018,61 Cedar Grove Ave and New Dorp Ln,Staten Island,10306,2% Idlewild Park
062719-00324,Rodeo,400 ML,10/10/2018,61 Cedar Grove Ave and Tysens Ln,Staten Island,10306,2% Idlewild Park
