EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,DATE OF APPLICATION,ADDRESS,MUNICIPALITY,ZIP CODE,DOSAGE PARK
062719‐00556,Accord XRT II,1350 ML,9/26/2017,62 Butler Terrace,Staten Island,10301,3% Jones Woods Park
062719‐00556,Accord XRT II,600 ML,9/26/2017,62 Butler Terrace,Staten Island,10301,2% Jones Woods Park
062719‐00556,Accord XRT II,1800 ML,10/25/2017,62 Surf Ave and Swinnerton Ave,Staten Island,10307,3% Conference House Park
062719‐00556,Accord XRT II,600 ML,7/31/2017,62 Billup,Staten Island,10307,2% Conference House Park
062719‐00556,Accord XRT II,600 ML,7/25/2017,62 Billop ave and Surf ave,Staten Island,10307,2% Conference House Park
062719‐00556,Accord XRT II,3000 ML,7/31/2017,62 PalisaSurf ave and Billop ave,Staten Island,10307,5% Conference House Park
062719‐00556,Accord XRT II,400 ML,8/1/2017,62 Billop ave and Surf ave,Staten Island,10307,2% Conference House Park
062719‐00556,Accord XRT II,2750 ML,8/2/2017,62 Bilop ave and Surf ave,Staten Island,10307,5% Conference House Park
062719‐00556,Accord XRT II,300 ML,9/12/2017,62 billops and surf,Staten Island,10307,2% Conference House Park
062719‐00324,Rodeo,450 ML,9/12/2017,62 Kissam Ave and Great Kills Ln,Staten Island,10306,3% Great Kills Park
062719‐00324,Rodeo,7650 ML,9/12/2017,62 Tysens Ln and Cedar Grove Ave,Staten Island,10306,3% Great Kills Park
062719‐00324,Accord Concentrate,3.75 GL,8/24/2017,62 Buffalo Street,Staten Island,10306,1.25% Great Kills Park
062719‐00556,Accord XRT II,3.75 GL,8/24/2017,62 Buffalo Street,Staten Island,10306,1.25% Great Kills Park
062719‐00556,Accord XRT II,1350 ML,9/26/2017,62 Tysens Ln and Cedar Grove Ave,Staten Island,10306,3% Great Kills Park
