,epa_registration_number,product_name,qtty_used,units,dosage_rate,place,date_of_application,address,municipality,zip_code
169,524‐579,ROUND UP PRO MAX,26,FL,4%,GREENSTREET,08/24/2017,"FLATLANDS AVENUE, AVENUE K, UTICA AVENUE",KINGS,11234
170,524‐579,ROUND UP PRO MAX,26,FL,4%,GREENSTREET,08/24/2017,"FLATLANDS AVENUE, AVENUE N, EAST 35TH STREET",KINGS,11234
171,524‐579,ROUND UP PRO MAX,26,FL,4%,GREENSTREET,08/24/2017,"FLATBUSH AVENUE, EAST 53RD STREET, EAST 52ND STREET",KINGS,11203
172,524‐579,ROUND UP PRO MAX,384,FL,3%,GREENWAY,09/08/2017,"FLATBUSH AVENUE, BELT PARKWAY, AVIATION ROAD",KINGS,11229
173,524‐579,ROUND UP PRO MAX,384,FL,3%,GREENWAY,09/08/2017,"BELT PARKWAY, AVIATION ROAD, FLATBUSH AVENUE",KINGS,11234
174,524‐579,ROUND UP PRO MAX,68,FL,100%,HECKSHER PLAYGROUND,08/04/2017,"LINDEN ST, CENTRAL AVE, WILSON AVE",B  ROOK LYN,11221
175,524‐579,ROUND UP PRO MAX,0.36,FL,3%,HENNESSY TRIANGLE,05/09/2017,"SURF AVE, WEST 5TH ST, OCEAN PKWY",KINGS,11224
176,524‐579,ROUND UP PRO MAX,25.6,FL,4%,HOLOCAUST MEMORIAL,07/06/2017,"SHORE BLVD, EMMONS AVE, WEST END AVE",KINGS,11235
177,524‐579,ROUND UP PRO MAX,10,FL,4%,JOHN P. SALOGUB TRIANGLE,10/23/2017,"PAERDEGAT AVE NORTH, E 77 ST, PAERDEGAT 1 ST",KINGS,11223
178,524‐579,ROUND UP PRO MAX,16,FL,4%,JOHN PAUL JONES PARK,06/26/2017,"FORT HAMILTON PARKWAY, 101ST STREET, 4TH AVENUE",KINGS,11209
179,524‐579,ROUND UP PRO MAX,36,FL,4%,JOHN PAUL JONES PARK,07/07/2017,"FORT HAMILTON PARKWAY, 101ST STREET, 4TH AVENUE",KINGS,11209
180,524‐579,ROUND UP PRO MAX,23,FL,3%,KAISER PARK,05/17/2017,"NEPTUNE AVE, BAYVIEW AVE, WEST 29 ST",KINGS,11224
181,524‐579,ROUND UP PRO MAX,11.5,FL,3%,KAISER PARK,07/25/2017,"NEPTUNE AVE, BAYVIEW AVE, WEST 29 ST",KINGS,11224
182,524‐579,ROUND UP PRO MAX,10.24,FL,4%,KELLY PARK,07/13/2017,"AVENUE S, EAST 14TH STREET, EAST 15TH ST",KINGS,11229
183,524‐579,ROUND UP PRO MAX,45,FL,16%,KELLY PLAYGROUND,09/26/2017,"BMT TRAIN ROW, AVENUE S, MOORE PLACE",KINGS,11229
184,524‐579,ROUND UP PRO MAX,7.5,FL,3%,LINCOLN TERRACE PARK,08/22/2017,"EAST NEW YORK AVE, ROCHESTER AVE, BUFFALO AVE",KINGS,11213
185,524‐579,ROUND UP PRO MAX,25.6,FL,4%,MANHATTAN BEACH,07/06/2017,"OCEAN AVE, ORIENTAL BLVD, FALMOUTH ST",KINGS,11235
186,524‐579,ROUND UP PRO MAX,256,FL,4%,MARINE PARK,08/30/2017,"GERRITSEN AVENUE, CHANNEL AVENUE, GOTHAM AVENUE",KINGS,11229
187,524‐579,ROUND UP PRO MAX,179,FL,4%,MARINE PARK,08/31/2017,"GERRITSEN AVENUE, CHANNEL AVENUE, GOTHAM AVENUE",KINGS,11229
188,524‐579,ROUND UP PRO MAX,256,FL,4%,MARINE PARK,08/30/2017,"GERRITSEN AVENUE, CHANNEL AVENUE, GOTHAM AVENUE",KINGS,11229
189,524‐579,ROUND UP PRO MAX,179,FL,4%,MARINE PARK,08/31/2017,"GERRITSEN AVENUE, CHANNEL AVENUE, GOTHAM AVENUE",KINGS,11229
190,524‐579,ROUND UP PRO MAX,50,FL,3%,MCCARREN PARK,08/21/2017,"LEONARD STREET, MANHATTAN AVENUE, BAYARD STREET",KINGS,11222
191,524‐579,ROUND UP PRO MAX,128,FL,4%,OLD GRAVESEND CEMETARY,09/28/2017,"VILLAGE ROAD SOUTH, VAN SICKLEN ST, MCDONALD AVE",KINGS,11223
192,524‐579,ROUND UP PRO MAX,128,FL,4%,OLD GRAVESEND CEMETARY,09/28/2017,GRAVESEND NECK ROAD/VAN SICKLEN STREET/VILLAGE ROAD,KINGS,11223
193,524‐579,ROUND UP PRO MAX,4,FL,4%,OLD GRAVESEND CEMETARY,10/6/2017,"MCDONALD AVENUE, VILLAGE ROAD SOUTH, VAN SICKLEN STREET",KINGS,11223
194,524‐579,ROUND UP PRO MAX,30.72,FL,4%,ORIENTAL MALLS,08/08/2017,"ORIENTAL BLVD, OCEAN AVE, BEAUMONT ST",KINGS,11325
195,524‐579,ROUND UP PRO MAX,2,FL,5%,PROSPECT PARK,08/29/2017,"FLATBUSH, AVENUE, OCEAN AVENUE,  EMPIRE BOULEVARD",KINGS,11225
196,524‐579,ROUND UP PRO MAX,2,FL,5%,PROSPECT PARK,08/30/2017,"CLEFTRIDGE SPAN, OCEAN AVENUE, LINCOLN ROAD",KINGS,11225
197,524‐579,ROUND UP PRO MAX,102,FL,4%,RED HOOK PARK,08/29/2017,"LORRAINE STREET, CLINTON STREET, HENRY STREET",KINGS,11231
198,524‐579,ROUND UP PRO MAX,11.5,FL,3%,RED HOOK PARK,08/21/2017,"COLUMBIA STREET, OTSEGO STREET, HALLECK STREET",KINGS,11231
199,524‐579,ROUND UP PRO MAX,6.4,FL,3%,SOUTH OXFORD PARK,06/30/2017,"SOUTH OXFORD ST, ATLANTIC AVE, ATLANTIC COMMONS",KINGS,11217
200,524‐579,ROUND UP PRO MAX,13,FL,4%,SOUTH OXFORD PARK,10/11/2017,"SOUTH OXFORD ST, ATLANTIC AVE, ATLANTIC COMMONS",KINGS,11217
201,524‐579,ROUND UP PRO MAX,15,FL,3%,SOUTH OXFORD PARK,09/11/2017,"ATLANTIC AVENUE, CUMBERLAND STREET, SOUTH OXFORD STREET",KINGS,11201
202,524‐579,ROUND UP PRO MAX,15,FL,3%,SOUTH OXFORD PARK,09/14/2017,"ATLANTIC AVENUE, CUMBERLAND STREET, SOUTH OXFORD STREET",KINGS,11201
203,524‐579,ROUND UP PRO MAX,9.6,FL,3%,SOUTH PACIFIC PLAYGROUND,06/30/2017,"DEAN STREET, RALPH AVE, HOWARD AVE",KINGS,11233
204,524‐579,ROUND UP PRO MAX,3.8,FL,3%,STEEPLECHASE PARK,05/17/2017,"SURF AVENUE, WEST 16TH STREET, WEST 19TH STREET",KINGS,11224
205,524‐597,ROUND UP PRO MAX,6.4,FL,4%,WASHINGTON HALL PARK,07/27/2017,"PARK AVENUE, WASHINGTON AVENUE, HALL STREET",KINGS,11205
